trip_distance,duration,total_amount,rush_hour
3.34,14.066666666666666,13.8,0
1.8,26.5,16.8,0
1.0,7.2,7.3,1
3.7,30.25,21.3,0
4.37,16.716666666666665,17.8,0
2.3,8.0,10.3,0
12.83,39.883333333333326,49.3,1
2.98,21.983333333333334,17.799999999999997,1
1.2,12.116666666666667,9.8,0
1.6,20.433333333333334,13.8,0
1.77,15.2,12.3,0
3.0,19.75,16.799999999999997,1
2.39,7.866666666666666,10.8,0
3.3,24.316666666666666,18.3,0
5.93,16.133333333333333,19.8,1
3.6,12.483333333333333,14.3,1
1.71,12.2,10.3,0
0.63,4.683333333333334,6.8,1
2.77,13.066666666666666,12.8,0
1.1,6.216666666666667,7.8,0
0.52,6.5,6.8,0
1.7,5.383333333333334,8.3,0
0.9,4.633333333333334,6.3,0
1.72,7.283333333333333,9.3,0
2.7,16.1,14.3,0
0.85,4.733333333333333,6.3,0
2.3,14.583333333333334,11.8,0
30.83,39.883333333333326,81.3,0
2.3,12.633333333333333,11.8,0
1.5,11.55,9.8,0
14.32,28.983333333333334,41.8,0
2.9,22.916666666666668,17.3,1
1.7,13.15,11.3,0
2.69,8.233333333333333,10.8,0
0.6,4.466666666666667,5.8,0
2.11,13.85,12.3,1
0.4,3.283333333333333,4.8,0
1.28,8.716666666666667,8.3,0
1.23,13.25,11.3,1
2.0,8.9,9.8,0
4.52,16.35,17.3,1
1.12,6.533333333333333,7.299999999999999,0
0.59,5.0,6.8,1
1.5,9.933333333333334,10.3,1
1.71,15.083333333333334,11.3,0
8.69,39.883333333333326,32.8,0
2.69,10.5,12.3,0
0.42,1.4,4.3,1
7.37,24.183333333333334,26.3,1
2.2,13.45,12.3,1
2.6,27.983333333333334,18.3,0
0.8,3.283333333333333,6.3,1
2.9,22.75,16.8,1
11.07,25.9,33.800000000000004,0
2.7,22.716666666666665,16.3,0
2.51,9.433333333333334,11.3,0
0.78,8.233333333333333,7.8,0
0.85,2.7333333333333334,5.3,1
0.38,2.45,5.8,1
1.15,9.8,8.8,0
7.16,14.816666666666666,21.8,0
0.7,4.483333333333333,5.800000000000001,1
0.71,3.6666666666666665,5.3,0
3.1,39.883333333333326,28.800000000000004,0
2.96,15.483333333333333,14.3,0
0.8,5.5,6.3,1
0.96,4.333333333333333,7.3,1
1.9,14.266666666666667,11.3,0
0.97,6.116666666666666,7.8,0
0.95,3.55,6.3,0
1.02,4.75,7.3,0
0.78,5.033333333333333,5.8,1
1.16,8.333333333333334,7.8,0
4.3,21.216666666666665,18.8,0
1.9,11.233333333333333,10.3,0
11.2,22.266666666666666,32.8,0
2.0,6.366666666666666,9.3,0
1.02,12.283333333333333,9.3,1
5.11,16.2,17.8,0
0.96,7.633333333333334,7.3,0
1.9,7.4,9.3,0
1.6,8.9,8.8,0
0.4,3.566666666666667,5.3,0
0.9,3.85,5.8,1
4.96,17.266666666666666,18.3,0
4.9,11.416666666666666,17.8,1
9.6,26.933333333333334,32.3,1
2.9,24.916666666666668,18.3,0
1.62,8.7,9.3,0
13.8,30.583333333333332,39.8,0
1.7,23.133333333333333,15.3,0
0.88,7.066666666666666,8.3,1
1.46,7.8,8.299999999999999,0
1.66,13.15,10.8,0
1.63,11.716666666666667,10.8,0
10.0,34.983333333333334,35.300000000000004,0
1.42,7.516666666666667,8.3,0
0.72,11.4,8.8,1
9.67,31.916666666666668,32.300000000000004,0
2.3,16.3,13.8,0
4.7,23.583333333333332,19.8,0
3.5,31.6,20.3,0
2.7,15.4,13.3,1
1.07,10.0,9.8,1
2.3,18.25,13.8,0
6.93,24.983333333333334,25.3,0
2.95,16.183333333333334,14.8,0
6.25,23.366666666666667,23.3,0
1.8,12.216666666666667,10.8,0
0.63,3.7333333333333334,5.8,0
1.3,7.333333333333333,7.8,0
3.22,10.0,13.3,1
1.09,6.833333333333333,7.300000000000001,1
0.79,8.25,8.3,0
1.1,5.4,6.800000000000001,0
2.73,33.96666666666667,22.3,1
1.9,8.9,10.3,0
2.85,15.916666666666666,13.3,0
1.8,16.416666666666668,12.8,0
0.83,6.216666666666667,6.8,0
4.2,31.5,22.8,0
1.6,15.8,12.8,1
0.5,4.133333333333334,5.8,0
1.71,14.333333333333334,11.3,1
